Date,Price,Open,High,Low,Vol.,Change %
6/23/2022,16950,16700,17000,16000,16.57M,-0.0029
6/24/2022,17200,16850,17850,16650,26.59M,0.0147
6/27/2022,18400,17500,18400,17200,25.20M,0.0698
6/28/2022,18300,18400,18900,18100,23.86M,-0.0054
6/29/2022,18550,18050,19200,17950,30.99M,0.0137
6/30/2022,17400,18600,19100,17400,32.01M,-0.0620
7/1/2022,18600,17600,18600,16700,35.63M,0.0690
7/4/2022,19200,19050,19700,18850,27.09M,0.0323
7/5/2022,18600,19150,19350,18600,24.65M,-0.0313
7/6/2022,17600,18000,18650,17600,29.43M,-0.0538
7/7/2022,17700,17550,18000,17150,21.11M,0.0057
7/8/2022,18350,18050,18600,18000,23.58M,0.0367
7/11/2022,17850,18250,18900,17500,19.43M,-0.0272
7/12/2022,18300,17850,18500,17700,20.23M,0.0252
7/13/2022,18500,18400,18850,18200,23.00M,0.0109
7/14/2022,19300,18200,19500,18100,30.89M,0.0432
7/15/2022,18900,19450,19650,18900,22.70M,-0.0207
7/18/2022,19000,19150,19350,18900,19.72M,0.0053
7/19/2022,18750,18800,19100,18400,22.45M,-0.0132
7/20/2022,19200,19150,19650,19000,23.70M,0.0240
7/21/2022,19150,19200,19550,19100,16.01M,-0.0026
7/22/2022,18950,19250,19400,18950,15.43M,-0.0104
7/25/2022,18750,18700,19200,18400,14.92M,-0.0106
7/26/2022,18200,18900,18950,18200,14.05M,-0.0293
7/27/2022,18200,18050,18300,17800,18.07M,0.0000
7/28/2022,18850,18700,19150,18400,17.15M,0.0357
7/29/2022,19100,19000,19400,18800,26.44M,0.0133
8/1/2022,20400,19250,20400,19200,42.53M,0.0681
8/2/2022,20750,20500,21300,20450,31.41M,0.0172
8/3/2022,21150,20500,21200,20450,26.53M,0.0193
8/4/2022,21200,21400,21600,20850,29.97M,0.0024
8/5/2022,22000,21000,22350,20900,28.98M,0.0377
8/8/2022,22150,22100,22300,21850,23.48M,0.0068
8/9/2022,22550,22100,22700,21800,21.85M,0.0181
8/10/2022,22200,22250,22700,22150,21.20M,-0.0155
8/11/2022,21950,22500,22900,21650,37.95M,-0.0113
8/12/2022,22500,21850,22600,21700,21.20M,0.0251
8/15/2022,22450,22800,22850,22300,14.74M,-0.0022
8/16/2022,22450,22400,22700,22150,18.92M,0.0000
8/17/2022,22250,22600,22750,22100,20.99M,-0.0089
8/18/2022,22500,22100,22950,22100,22.19M,0.0112
8/19/2022,22650,22450,22900,22300,15.08M,0.0067
8/22/2022,22200,22600,22950,22100,19.93M,-0.0199
8/23/2022,22750,22000,22750,21700,25.37M,0.0248
8/24/2022,22600,22850,22900,22500,12.78M,-0.0066
8/25/2022,22950,22700,23300,22700,20.64M,0.0155
8/26/2022,22400,22950,23000,22250,20.43M,-0.0240
8/29/2022,22200,21850,22200,20900,37.94M,-0.0089
8/30/2022,21700,22450,22550,21700,13.19M,-0.0225
8/31/2022,21700,21500,21900,21350,11.98M,0.0000
9/5/2022,21400,21600,21850,21400,12.90M,-0.0138
9/6/2022,21400,21650,21750,21350,10.99M,0.0000
9/7/2022,20000,21400,21600,20000,28.14M,-0.0654
9/8/2022,20000,20400,20500,19850,14.69M,0.0000
9/9/2022,20400,20350,20400,19350,17.79M,0.0200
9/12/2022,20100,20800,20850,20050,10.41M,-0.0147
9/13/2022,19850,20150,20250,19550,14.81M,-0.0124
9/14/2022,20000,19100,20100,19100,22.13M,0.0076
9/15/2022,19800,20200,20250,19750,7.68M,-0.0100
9/16/2022,19000,19700,19800,19000,23.56M,-0.0404
9/19/2022,17850,19100,19100,17850,20.71M,-0.0605
9/20/2022,18800,18000,18800,17850,16.31M,0.0532
9/21/2022,18500,18500,18900,18300,10.54M,-0.0160
9/22/2022,19000,18250,19100,18200,17.72M,0.0270
9/23/2022,18550,18950,19200,18500,15.98M,-0.0237
9/26/2022,17450,18050,18300,17300,28.90M,-0.0593
9/27/2022,17500,17600,17750,17350,13.33M,0.0029
9/28/2022,17800,17500,18200,17400,19.72M,0.0171
9/29/2022,17400,18300,18300,17400,12.16M,-0.0225
9/30/2022,17500,17400,17700,16400,21.99M,0.0057
10/3/2022,16300,17200,17350,16300,15.97M,-0.0686
10/4/2022,15400,16700,16800,15400,20.09M,-0.0552
10/5/2022,16400,15800,16450,15800,12.88M,0.0649
10/6/2022,15300,16350,16400,15300,14.38M,-0.0671
10/7/2022,14250,14600,15100,14250,30.61M,-0.0686
10/10/2022,14650,13900,14850,13450,19.68M,0.0281
10/11/2022,13650,14500,14600,13650,15.41M,-0.0683
10/12/2022,13950,13550,14500,13300,25.61M,0.0220
10/13/2022,13900,13850,14300,13800,10.52M,-0.0036
10/14/2022,14500,14400,14850,14200,26.02M,0.0432
10/17/2022,14500,14300,14500,13800,15.97M,0.0000
10/18/2022,14600,14850,15150,14600,20.88M,0.0069
10/19/2022,14550,14600,14900,14400,12.99M,-0.0034
10/20/2022,14150,14500,14600,14050,11.01M,-0.0275
10/21/2022,13200,14050,14200,13200,25.28M,-0.0671
10/24/2022,12300,12850,13000,12300,11.77M,-0.0682
10/25/2022,11450,11450,12700,11450,65.49M,-0.0691
10/26/2022,10650,11600,12000,10650,28.09M,-0.0699
10/27/2022,11350,10500,11350,10500,37.11M,0.0657
10/28/2022,11700,11700,12100,11550,24.82M,0.0308
10/31/2022,11500,11900,11900,10900,25.08M,-0.0171
11/1/2022,11800,11700,11850,11250,18.76M,0.0261
11/2/2022,12100,11800,12350,11550,22.06M,0.0254
11/3/2022,11950,11700,12100,11650,17.83M,-0.0124
11/4/2022,11200,11750,11800,11150,22.89M,-0.0628
11/7/2022,10450,11200,11300,10450,27.99M,-0.0670
11/8/2022,10650,9790,10650,9790,16.70M,0.0191
11/9/2022,10450,10750,11000,10400,8.49M,-0.0188
11/10/2022,9720,10150,10300,9720,17.43M,-0.0699
11/11/2022,9800,10000,10200,9670,20.04M,0.0082
11/14/2022,10350,9120,10350,9120,24.43M,0.0561
11/15/2022,9900,10050,10400,9630,20.78M,-0.0435
11/16/2022,10550,9320,10550,9230,22.96M,0.0657
11/17/2022,11100,10800,11250,10700,18.66M,0.0521
11/18/2022,11100,11000,11500,10350,30.24M,0.0000
11/21/2022,11300,11100,11500,10950,17.45M,0.0180
